226	280	4
226	281	5
226	227	6
226	178	1
226	177	2
226	225	3
227	281	4
227	282	5
227	283	6
227	228	1
227	178	2
227	226	3
228	227	4
228	283	5
228	284	6
228	229	1
228	179	2
228	178	3
229	228	4
229	284	5
229	285	6
229	230	1
229	180	2
229	179	3
230	229	4
230	285	5
230	286	6
230	231	1
230	181	2
230	180	3
231	230	4
231	286	5
231	287	6
231	232	1
231	182	2
231	181	3
232	231	4
232	287	5
232	288	6
232	233	1
232	183	2
232	182	3
233	232	4
233	288	5
233	289	6
233	234	1
233	184	2
233	183	3
234	233	4
234	289	5
234	290	6
234	235	1
234	185	2
234	184	3
235	234	4
235	290	5
235	291	6
235	236	1
235	186	2
235	185	3
236	235	4
236	291	5
236	292	6
236	293	1
236	237	2
236	186	3
237	186	4
237	236	5
237	293	6
237	294	1
237	238	2
237	187	3
238	187	4
238	237	5
238	294	6
238	295	1
238	239	2
238	188	3
239	188	4
239	238	5
